	0
Despotism	811.047
Detroit, Michigan	29331.5
Devonian	8593.53
Dewey Square	0
Diabetes mellitus	3046.29
Diamond	48353.7
Diamond cut	124.677
Diamond simulant	11010.6
Diane Keaton	62.3017
Dice	3386.49
Dido and Aeneas	476.554
Diego Garcia	58.6506
Diego Maradona	375.55
Diego Velázquez	1436.77
Differential equation	2506.85
Differential geometry and topology	0
Diffuse interstellar band	0
Dik-dik	61.9231
Dill	5314.44
Dilophosaurus	20.3613
Dimetrodon	374.057
Dingo	473.172
Dinosaur	169664
Diplodocus	1967.21
Directdebit	0
Directive Principles in India	0
Disneyland Railroad	105.887
Distilled beverage	883.434
Dixie Mission	10.0346
Djibouti	3873.72
Dmitri Mendeleev	3672.89
Doctor Who	19622.4
Dodo	25132.8
Dog	20946.5
Doha	1006.09
Dolphin	18502.4
Domesday Book	1359.67
Domestic AC power plugs and sockets	0
Domestic goat	5387.41
Domesticated turkey	967.035
Dominica	6236.27
Dominican Republic	3576.19
Donald Bradman	187.021
Donald Duck	553.549
Donald Knuth	1005.92
Doom	10487.9
Dorset	13958.2
Double bass	1859.74
Double-decker bus	727.057
Douglas Adams	5242.29
Dove	15428.5
Dover	872.258
Down syndrome	615.839
Dr. Seuss	6803.23
Drama	3482.56
Draughts	0
Drawing	1785.54
Dresden	3532.22
Drinking water	5420.21
Driving on the left or right	0
Drosera anglica	4596.2
Drosophila melanogaster	1586.1
Drought	5058
Drum and bass	18397.5
Du Fu	732.545
Dualism (philosophy of mind)	4596.51
Dubai	3428.14
Dublin	21402.5
Dubnium	249.488
Duchenne muscular dystrophy	0
Dundee	20344.8
Dundee United F.C.	64.717
Dune	3187.44
Dunnock	44.4203
Dunstable Downs	27.5198
Duran Duran	1561.4
Durham	666.542
Durham Cathedral	789.411
Durian	237.259
Dutch language	53201.6
Dwight D. Eisenhower	11792.7
Dysprosium	599.6
Dál Riata	1141.54
Düsseldorf	2428.1
E. E. Cummings	2720.74
E. P. Wigner	0
E.T. the Extra-Terrestrial (Atari 2600)	0
ECHELON	563.184
EMD BL2	0
EMD F7	28.574
EMD GP30	0
Eagle	17719.6
Eagle Scout (Boy Scouts of America)	5104.8
Earl of Shaftesbury	38.1754
Earless seal	0
Earth	291857
Earth's atmosphere	17342.6
Earthquake	16961.6
Earwax	0
East Africa	10452.8
East Flemish	384.156
East Timor	4890.7
East-West Schism	474.605
EastEnders	1287.23
Easter Island	2102.21
Eastern Orthodox Church	8653.77
Eastern Roman Empire	0
Ebony	1773.33
Ecology	19493.4
Economic inequality	1029.5
Economics	26753.5
Economy of Africa	2359.57
Economy of India	992.003
Economy of Pakistan	328.652
Economy of Scotland	0
Economy of the Iroquois	0
Economy of the Republic of Ireland	656.447
Ecuador	18512.3
Edema	245.769
Edgar Allan Poe	13506.3
Edible salt	1463.54
Edinburgh	39130.2
Edmond Halley	1828.28
Edmonton	0
Edmund Burke	3263.57
Edmund Hillary	519.965
Education	39131
Education in the United States	21919.8
Educational psychology	760.837
Edward Gibbon	2457.54
Edward I of England	2867.04
Edward II of England	5103.06
Edward III of England	3612.32
Edward IV of England	762.362
Edward Jenner	10393.5
Edward Teller	2238.08
Edward V of England	100.81
Edward VI of England	3001.4
Edward VII of the United Kingdom	5112.47
Edward VIII of the United Kingdom	1978.82
Edward the Confessor	1583.3
Edwin of Northumbria	3572.54
Effect of Hurricane Katrina on New Orleans	234.993
Effects of global warming	252.03
Effects of nuclear explosions	600.897
Egg (food)	5106.76
Egypt	83409.8
Egyptian pyramids	102.68
Eifel Aqueduct	0
Eilmer of Malmesbury	19.6749
Einsteinium	1343.21
El Aaiún	0
El Hatillo Municipality, Miranda	0
El Lissitzky	363.815
El Niño-Southern Oscillation	2367.7
El Salvador	8365.04
Elagabalus	16.1763
Eldfell	4739.95
Election	4516.58
Electric charge	10135.6
Electric field	987.912
Electrical engineering	6231.92
Electrical resistance	1870.31
Electricity	39463
Electromagnetic radiation	7052.36
Electron	26364.3
Electron beam welding	74.0593
Electronic amplifier	0
Electronics	8541.49
Elementary algebra	6.87244
Elementary arithmetic	19.2987
Elementary group theory	7.39437
Eleocharis dulcis	47.6505
Elephant	21590.6
Elephant bird	26.1747
Elephant shrew	5851.49
Elfin-woods Warbler	0
Elias Ashmole	24.8918
Eliminative materialism	78.6935
Elizabeth Fry	87.1505
Elizabeth I of England	16600.9
Elizabeth II of the United Kingdom	74751.7
Elizabethan Poor Law (1601)	0
Elvis Presley	17600.3
Emacs	997.437
Emanuel Swedenborg	4340.27
Emirate	124.433
Emma Roberts	0
Emotion	1371.27
Emperor Penguin	210.653
Empires:  Dawn of the Modern World	0
Empiricism	1310.43
Employment	6765.17
Emu	7075.01
Enceladus (moon)	654.132
Encyclopædia Britannica	6636.85
Endoscopic foreign body retrieval	0
Energy	53701.1
Engineering	12575.7
England	682814
England expects that every man will do his duty	14.9279
English Channel	14594.5
English Reformation	396.738
English language	295884
English monarchs family tree	0
English peasants' revolt of 1381	151.915
English poetry	9013.3
Enigma machine	5053.27
Entropy	6571.88
Environmental science	538.921
Enzyme kinetics	49.9863
Eocene	3611.34
Epaminondas	14.2433
Epazote	764.895
Epic of Gilgamesh	407.852
Episcopal polity	360.772
Equal Protection Clause	95.6915
Equatorial Guinea	9932.08
Erbium	695.26
Eric Clapton	8890.35
Erie Canal	2307.41
Eris (dwarf planet)	164.134
Eritrea	12688.8
Ernest Hemingway	12915.8
Ernest Rutherford	4198.46
Eruption column	161.08
Erwin Rommel	5381.21
Eskimo	232.072
Esox	0
Esperanto	6162.59
Essential oil	4945.07
Estonia	4338.41
Ethanol	16739.4
Ethics	8112.05
Ethiopia	47447.5
Ethiopian Wolf	30.8716
Ethnic group	5613.27
Euclid	4707.5
Euclidean geometry	563.96
Eukaryote	663.211
Euphrates	1016.58
Eurasian Bullfinch	0
Eurasian Collared Dove	95.8168
Eurasian Eagle Owl	113.073
Eurasian Jay	263.627
Eurasian Oystercatcher	0
Euro	11718.4
Europe	568788
European Goldfinch	373.039
European Greenfinch	0
European Kingfisher	0
European Parliament	2039.58
European Space Agency	7574.17
European Union	97281
Europium	514.653
Eurovision Song Contest	5483.96
Euston Manifesto	0
Eustreptospondylus	0
Eva Perón	632.49
Evan Rachel Wood	0
Evanton	0
Evolution	101742
Evolutionarily stable strategy	118.374
Existentialism	3027.89
Exploration of Mars	166.479
Explorer I	194.532
Expressionism	706.534
Extinct birds	14435.1
Extinction	23323.8
Extrasolar planet	35018.7
Extraterrestrial life	6555.02
Eye	31280.6
Eye (cyclone)	147.627
Eyelid	3.49539
Ezra Pound	11319
F-35 Lightning II	143.872
F-4 Phantom II	78.4129
FIFA	1824.54
FIFA World Cup	3484.12
FM Consolidated line	0
Fair Isle	796.068
FairTax	0
Falcon	2031.41
Falkirk Wheel	0
Falkland Islands	6620.87
Family	1490.1
Famine	15510.1
Fanny Blankers-Koen	0
Faroe Islands	12943.7
Fascism	8251.18
Fashion	8439.74
Fatty acid	13224.6
Fauna of Australia	20699.6
Feather	5445.98
Fed Cup	270.496
Federal Bureau of Investigation	15900.6
Federated States of Micronesia	2842.88
Fedora Core	516.054
Feldspar	1008.37
Felice Beato	1497.57
Felix Mendelssohn	3526.94
Felix the Cat	162.822
Fencing	267.024
Fennel	7791.46
Ferdinand Magellan	5471.89
Ferdinandea	42.53
Fermi paradox	450.768
Fermium	101.173
Fern	6687.54
Fertile Crescent	675.874
Fertilizer	8530.52
Fetal alcohol spectrum disorder	0
Ffestiniog Railway	40.7958
Fiberglass	646.05
Fiction	3913.02
Fidel Castro	2826.41
Fieldfare	10.5189
Fiji	3262.59
Film	36910.8
Final Fantasy (video game)	45.92
Final Fantasy Adventure	0
Finance	14080.6
Financial statements	0
Fine art	1911.88
Finland	43425.8
Fire	17554.7
Firearm	1175.89
Firecrest	26.7081
Firefly (TV series)	1052.45
First Council of Nicaea	383.194
First Crusade	3123.55
First Macedonian War	127.104
First Transcontinental Railroad	7031.39
Fish	20730.5
Fishing	44489.8
Flag of Australia	353.805
Flag of Belarus	45.9408
Flag of Hong Kong	30.6352
Flag of India	349.347
Flag of Mexico	178.183
Flag of South Africa	153.723
Flag of the Republic of China	109.877
Flamingo	530.92
Flanders	12884.9
Flat Earth	3131.74
Flemish (linguistics)	578.802
Flemish dialects	29.3226
Flemish people	304.426
Flood	18525.1
Floppy disk	5396.1
Florence Nightingale	1500.62
Florida	78562.1
Florida East Coast Railway	5706.22
Floris and Blancheflour	0
Flower	22952.5
Floyd Mayweather Jr.	0
Fluorine	2006.18
Flute	11116.1
Foie gras	0
Folic acid	1883.28
Folk music	16503.2
Folklore	9315.25
Food	20568.2
Football	16260
Football (soccer)	22571.3
Force	3184.79
Forensic facial reconstruction	0
Forest	4902.65
Formic acid	1824.25
Formula One	15972.6
Forrest Gump	688.183
Fort de Chartres	0
Forth	0
Forth Bridge (railway)	4786.57
Forth Road Bridge	58.4729
Fossil	15235.9
Fossil fuel	1208.15
Fossil record	2334.14
Fourteenth Amendment to the United States Constitution	5303.64
Fox	13612.4
Fractal	883.677
France	252912
France in the American Revolutionary War	57.8718
Frances Oldham Kelsey	0
Francis Bacon	1986.66
Francis Crick	8216.31
Francis Drake	1129.72
Francis Petre	21.6496
Francis of Assisi	11056.2
Francisco Goya	381.404
Francium	939.86
Frank Lloyd Wright	1066.42
Frankenstein	3794.09
Frankfurt	10763.3
Franklin B. Gowen	0
Franklin D. Roosevelt	12353.3
Franklin Pierce	209.17
Franks	4993.18
Franz Kafka	8828.57
Franz Schubert	2354.47
Frederick Douglass	1442.05
Frederick Hamilton-Temple-Blackwood, 1st Marquess of Dufferin and Ava	0
Frederick II of Prussia	4298.35
Frederick II, Holy Roman Emperor	727.798
Freetown	809.289
French Guiana	602.387
French Open (tennis)	714.696
French Polynesia	78.3557
French Revolution	6460.95
French Southern and Antarctic Lands	374.907
French language	80879.8
Fresh water	2776.79
Friedrich Nietzsche	13813.9
Friend Directdebit	0
Frog	28444.4
Fruit	46840.6
Frédéric Chopin	2357.19
Fugu	38.6268
Full moon	1155
Funchal	2950.48
Functional programming	4271.1
Fundamental Rights in India	0
Fundamental theorem of arithmetic	4.39858
Fungus	6035
Fur language	0
Fusarium	2.39694
Fyodor Dostoevsky	3655.77
GDRT	24.796
GNOME	5901.09
GNU	6304.43
GNU Linux naming controversy	0
GNU Project	19.0215
Gabon	1767.55
Gaborone	81.4033
Gadolinium	583.976
Galah	9.95405
Galaxy	5397.54
Galeras	24.8119
Galerina	0
Galileo Galilei	16730.6
Gallery of the Kings and Queens of England	0
Gallimimus	0
Gallium	752.173
Galveston Hurricane of 1900	377.629
Galápagos Islands	9600.06
Game	5349.04
Game theory	16681
Ganesha	1662.21
Ganges River	2764.97
Ganges shark	0
Gangtok	225.561
Garage (dance music)	9.11193
Garden	10926.7
Garden Gnome Liberation Front	0
Gardening	1629.96
Gas	1666.61
Gas giant	2375.36
Gas metal arc welding	102.081
Gas tungsten arc welding	617.755
Gas turbine-electric locomotive	154.386
Gaur	295.787
Gauss's law	312.56
Gautama Buddha	2742.43
Gaza Strip	3287.32
Gazelle	853.016
Gender	3078.7
Genealogy	1538.83
General Pershing Zephyr	84.8935
Genetic code	4639.02
Genetics	15531.6
Geneva	7212.76
Genghis Khan	4051.43
Genoa	10074.3
Gentoo penguin	0
Geography	21628.2
Geography of Africa	0
Geography of India	1815.22
Geography of Ireland	114.71
Geography of Texas	0
Geology	25802.8
Geology of Dorset	0
Geology of the Grand Canyon area	85.3118
Geometry	3324.4
Georg Cantor	4496.6
Georg Forster	0
Georg von Boeselager	0
George Byron, 6th Baron Byron	11474.9
George Eliot	972.577
George Fox	104.943
George H. W. Bush	5589.14
George Herbert	30.3867
George I of Great Britain	1413.08
George II of Great Britain	652.942
George III of the United Kingdom	17489.4
George IV of the United Kingdom	7509.95
George Thomas Coker	0
George V of the United Kingdom	4986.73
George VI of the United Kingdom	3667.04
George W. Bush	48642.5
George Washington	7271.13
Georgetown, Guyana	571.312
Georgia (country)	25642.4
Gerald Durrell	6354.26
Gerald Ford	9778.57
German Crusade, 1096	121.599
German language	70539.7
German reunification	432.091
Germanium	2083.34
Germany	408991
Gettysburg Address	637.018
Ghana	6352.52
Ghost Dance	126.971
Giant Eland	33.3384
Giant Hogweed	0
Giant Panda	910.854
Giant's Causeway	894.043
Gibraltar	22683.3
Giganotosaurus	33.1977
Gilles Villeneuve	44.1806
Giraffe	5235.26
Giuseppe Verdi	882.848
Giza pyramid complex	38.4167
Glacier	28458.3
Glacier National Park (US)	6840.06
Glaciology	155.947
Glasgow	28281.1
Glass	29978.4
Glasses	4879.09
Glastonbury Festival	205.445
GlaxoSmithKline	1039.37
Gliding	400.788
Gliese 876	9684.14
Gliese 876 b	44.606
Gliese 876 c	10.7413
Gliese 876 d	360.958
Global	34.7038
Global city	18189.5
Global spread of H5N1	131.669
Global warming	23858.5
Globalization	10657.5
Globe Theatre	268.095
Globular cluster	182.625
Glorious Revolution	3282.81
Glynn Lunney	48.4171
Gmail	464.329
Go (board game)	1704.16
Goa	8759.88
God	35019.7
Gold	122924
Gold standard	3415.64
Gold(III) chloride	943.981
Goldcrest	40.5509
Golden Eagle	1571.41
Golden Gate Highlands National Park	25.902
Goldfish	647.775
Goleta, California	0
Gone with the Wind (film)	2968.34
Google	6559.66
Goose	4473.98
Gordon Brown	5830.83
Gordon Griffith	0
Gorilla	6491.56
Gossypium	58.9352
Gothenburg	1706.49
Gottfried Leibniz	28109.9
Government	17394.9
Government of France	54.0805
Gowanus Canal	0
Grand Canal of China	272.899
Grand Canyon	5949.06
Grand Central Station (Chicago)	0
Grand Central Terminal	1074.43
Grand Forks, North Dakota	0
Grand Slam (tennis)	9331.05
Grange Hill	0
Granite	10676.8
Graniteville train disaster	0
Grape seed oil	14.2444
Graphic novel	2615.54
Gravitation	27536.8
Gray Wolf	786.732
Gray reef shark	31.9729
Grease (film)	30.7265
Great Auk	443.233
Great Barrier Reef	4075.72
Great Black-backed Gull	38.2174
Great Britain	58633.6
Great Bustard	45.864
Great Comet of 1882	165.906
Great Cormorant	267.286
Great Crested Grebe	201.624
Great Lakes	11232
Great Lakes Storm of 1913	260.676
Great Moravia	1107.29
Great Pyramid of Giza	412.019
Great Red Spot	48.2684
Great Rift Valley	5185.35
Great Salt Lake	822.384
Great Spotted Woodpecker	38.038
Great Tit	33.0467
Great Wall of China	3669.97
Great Yarmouth	1667.55
Great comet	4600.01
Great hammerhead	0
Great white shark	1210.92
Greater Cane Rat	0
Greco-Buddhism	630.791
Greece	89925.4
Greek War of Independence	709.974
Greek mythology	40475.6
Green Woodpecker	38.8165
Greenhouse effect	2924.41
Greenland	11334.4
Greg LeMond	262.202
Gregor Mendel	2672.03
Gregorian chant	774.156
Gremlins	0
Grenada	7415.17
Grevy's Zebra	0.640504
Group (mathematics)	5420.72
Grover Cleveland	2278.4
Guadeloupe	3956.23
Guam	4358.51
Guangzhou	3448.93
Guatemala	13216.9
Guernsey	10749.4
Guglielmo Marconi	886.656
Guild	3432.97
Guinea	3345.57
Guinea-Bissau	2198.07
Guinness	1075.95
Guitar	4542.13
Gulf of Mexico	16045.3
Gull	14152.2
Gunpowder	1648.66
Guqin	4757.4
Gustav Holst	4592.71
Gustavus Franklin Swift	85.806
Guyana	17325.3
Gyeongju	95.636
Gypsum	4891.44
H II region	1333.31
H.D.	468.325
H5N1	6305.3
HD 209458 b	13.3784
HD 217107	83.2543
HD 217107 b	71.0828
HD 217107 c	3.11198
HD 28185	9.86838
HD 28185 b	8.65141
HIV	3825.99
HIV AIDS in Africa	0
HMS E18	0
HSBC	7914.27
HTTP cookie	14400.2
Habsburg Spain	6499.24
Hadrian's Wall	630.591
Haemophilia	30.5201
Hafnium	1291.28
Haiti	4672.37
Haji Mohammad Suharto	0
Halfbeak	0
Halloween	7126.81
Hamburg	8003.44
Hamilton-Burr duel	0
Hammurabi	145.335
Hampshire	4599.25
Hampstead Heath	4564.97
Hannibal Barca	1999.8
Hanoi	519.42
Harald Maddadsson	0.407422
Haraldskær Woman	7.10399
Harare	583.899
Hardball squash	8.03858
Harlem Globetrotters	95.4215
Harley-Davidson	22.1219
Harold Macmillan	1964.3
Harold Wilson	5968.55
Harrier Hawk	42.3198
Harry Potter	11185.8
Harry S. Truman	4961.64
Harvest	280.688
Hasekura Tsunenaga	372.503
Hassium	8.38515
Hatshepsut	305.158
Hawaiian Goose	29.0729
Hawfinch	0
Hawk	11816.8
Hawk-Eye	5331.47
Hawking radiation	473.876
Health	7489.77
Heard Island and McDonald Islands	295.307
Heat	9862.61
Hebrew calendar	543.482
Hebrew language	15980.5
Hebrides	827.702
Heilbronn	0
Helen	662.017
Helen Gandy	3.99252
Helicobacter pylori	0
Heliocentrism	4590.1
Helium	38717.6
Hellenistic Greece	4175.8
Hello Garci scandal	0
Helmeted Guineafowl	102.374
Helsinki	4730.95
Henipavirus	60.4948
Henri Matisse	174.806
Henrik Ibsen	872.406
Henry David Thoreau	2017.11
Henry Fonda	811.662
Henry Ford	479.363
Henry H. Rogers	13590
Henry I of England	2834.32
Henry II of England	2454.67
Henry III of England	368.485
Henry IV of England	719.019
Henry James	3811.59
Henry Moore	995.515
Henry Morrison Flagler	90.158
Henry Morton Stanley	565.943
Henry Purcell	9095.44
Henry Rollins	0.483398
Henry V of England	715.035
Henry VI of England	683.995
Henry VII of England	1962.13
Henry VIII of England	19718.9
Henry Wood (conductor)	0
Hepatocellular carcinoma	25.6418
Hepatorenal syndrome	0
Heracles	2467.07
Heraclius	200.9
Heraldry	2538.86
Herbert Hoover	3862.33
Herbig-Haro object	38.1622
Herbivore	10444.2
Hermann Maier	0
Hernán Cortés	721.066
Hero of Ukraine	0
Hero of the Russian Federation	207.543
Herodotus	2698.84
Heron	256.805
Herrerasaurus	0
Herring Gull	244.374
Hey Jude	445.989
Hickman's potentilla	0
High German consonant shift	78.0162
Hilda of Whitby	199.557
Himalayas	26667.5
Himno Nacional Mexicano	39.0877
Hindi	6921.99
Hinduism	42141.4
Hip hop music	13143.6
Hippocrates	3110
Hippopotamus	5278.39
Hiroh Kikai	0
Hirohito	585.128
History	6255.59
History of Alaska	9206.04
History of Anglo-Saxon England	4135.14
History of Arizona	9256.14
History of Buddhism	1017.64
History of Burnside	0
History of Cape Colony from 1806 to 1870	49.256
History of Cape Colony from 1870 to 1899	33.75
History of Central Asia	58.3978
History of Earth	10507.9
History of Greece	4237.53
History of Greenland	60.3263
History of Limerick	0
History of Louisville, Kentucky	0
History of Miami, Florida	0
History of New Jersey	87.5362
History of Northwest Territories capital cities	0
History of Poland (1945–1989)	0
History of Portugal (1777–1834)	0
History of Puerto Rico	41270.5
History of Russia	549.943
History of Singapore	0
History of Solidarity	0
History of South Africa	1890.05
History of South Africa in the apartheid era	1092.25
History of South Carolina	70.4004
History of Wikipedia	0
History of computing hardware	1053.32
History of democracy	300.71
History of education	0
History of merit badges (Boy Scouts of America)	0
History of nuclear weapons	1577.74
History of painting	28.8703
History of post-Soviet Russia	240.071
History of saffron	0
History of science	14359.1
History of slavery	55272
History of the Australian Capital Territory	0
History of the Grand Canyon area	0
History of the Internet	356.227
History of the Netherlands	0
History of the Panama Canal	0
History of the Portuguese Communist Party	12.6021
History of the Royal Australian Navy	0
History of the West Indian cricket team	0
History of the world	3878.42
Ho Chi Minh	486.057
Ho Chi Minh City	546.294
Holkham Hall	5211.86
Hollandic	119.603
Holmium	385.831
Holy Roman Empire	22240.3
Homer	7280.92
Homestar Runner	2716.54
Homo floresiensis	196.084
Honduras	12822.3
Honey	8339.11
Honey bee	155.803
Hong Kong	33439.8
Hoover Dam	711.817
Hopman Cup	7893.28
Horatio Nelson, 1st Viscount Nelson	5798.21
Horn of Africa	8327.54
Horse	41872.4
Hot air balloon	516.706
House	6095.21
House Martin	5183.97
House Sparrow	16409.2
House of Lords	5614.28
Household income in the United States	133.271
Houston, Texas	20047.9
Hovercraft	470.306
Howards End	608.377
Howland Island	980.341
Hrafnkels saga	0
Hubbard Glacier	12.8726
Hubble Deep Field	75.3269
Hubble Space Telescope	18701.7
Hubble's law	82.1082
Hudson Bay	478.959
Hugo Wolf	11.1445
Human	183094
Human abdomen	0
Human dignity	3.83173
Human rights	38263.2
Humanism	5301.73
Humanities	4960.18
Humbert Roque Versace	0
Humour	677.459
Humpback Whale	3348.13
Humphry Davy	2728.76
Humus	74.8837
Hundred Years' War	8086.35
Hungary	39151.1
Hunger	58.52
Huntington's disease	144.185
Hurricane Alex (2004)	4589.78
Hurricane Andrew	2750.77
Hurricane Camille	721.409
Hurricane Charley	3978.63
Hurricane Danny (1997)	0
Hurricane David	23.2047
Hurricane Dennis	6770.21
Hurricane Edouard (1996)	0
Hurricane Epsilon (2005)	51.3888
Hurricane Felix (1995)	0
Hurricane Floyd	302.72
Hurricane Georges	499.598
Hurricane Gloria	73.8155
Hurricane Ivan	2850.16
Hurricane John (1994)	0
Hurricane John (2006)	0
Hurricane Katrina	37700.3
Hurricane Lenny	464.819
Hurricane Marty (2003)	0
Hurricane Mitch	5552.24
Hurricane Philippe (2005)	5.05422
Hurricane Vince (2005)	0.903883
Husein Gradaščević	49.5397
Hutu	212.745
Hyde Park, London	3985.36
Hydrochloric acid	8321.1
Hydrogen	59902
Hydrogen peroxide	669.624
Hydrology	7141.53
Hyena	9939.83
Hymenoptera	181.836
Hypsilophodon	0
Hänsel und Gretel	47.6221
I Ching	69.5425
I Want to Hold Your Hand	223.247
IG Farben Building	21.2913
IPod	7957.8
ITunes	8603.11
Ibn Battuta	768.174
Ice	3240.6
Ice age	12421.4
Ice hockey	29687.2
Ice sheet	1364.81
Iceland	52113.6
Iceland hotspot	6.40235
Ichthyosaur	909.995
Idit Harel Caperton	0
Idolatry	263.569
Igneous rock	2517.17
Igor Stravinsky	6543.19
Iguanodon	761.818
Ike Altgens	12.846
Imagism	511.055
Immanuel Kant	8282.93
Imperative programming	1500.33
Imperial Japanese Navy	1332.89
Impressionism	3293.32
Inca Empire	2575.41
Income disparity	53.5523
India	237198
Indian Institutes of Technology	0
Indian Ocean	44785.5
Indian Peafowl	55.5671
Indian Railways	5745.64
Indian Standard Time	5396.89
Indian cricket team	4940.79
Indian independence movement	8554.26
Indira Gandhi	657.11
Indium	361.805
Indo-Greek Kingdom	14822.4
Indonesia	52443
Indonesian language	1204.42
Indricotherium	193.624
Inductance	0.970048
Indus River	6117.48
Indus Valley Civilization	5712.17
Industrial Revolution	49035.3
Industry	8557.1
Information	6325.55
Infrastructure	3077.34
Inner Hebrides	164.128
Insect	31575.7
Insulin	4415.91
Integrated circuit	6532.56
Intel Corporation	2066.47
Intelligence	679.803
InterBase	0
International Court of Justice	971.712
International English	0
International Red Cross and Red Crescent Movement	7920.41
International Space Station	14315.7
International human rights instruments	6.77295
International law	1507.1
Internet	54999.4
Internet Explorer	4232.63
Interpol	9202.32
Introduction to special relativity	0
Invasion	5639.28
Invasion of Grenada	256.366
Invasive species	12428.7
Invertebrate	1101.82
Investment banking	0
Iodine	5441.19
Iowa class battleship	0.25
Ipswich	825.457
Iran	86172.1
Iranian peoples	8789.92
Iraq	24016.1
Iraq War	2808.4
Iraq and weapons of mass destruction	0
Ireland	116600
Ireland King of Arms	0
Iridium	7509.26
Irish Sea	7609.63
Irish people	46770
Irish poetry	4321.09
Irish theatre	32.7268
Iron	73746.6
Iron Age	3823.79
Iron Maiden	1093.23
Iron Mike	115.867
Iron(III) chloride	117.335
Irrigation	5314.32
Isaac	805.477
Isaac Asimov	10713.1
Isaac Brock	286.174
Isaac Newton	35690.5
Isambard Kingdom Brunel	8108.16
Isan	825.575
Ishango bone	1216.46
Isis	3240.64
Islam	131608
Islamic republic	25.9662
Island Fox	57.9166
Isle of Man	21990.4
Isle of Wight	17659
Isles of Scilly	2843.66
Isospin	58.8126
Israel	91307.4
Issyk Kul	54.195
Istanbul	18827.2
Italian Renaissance	7982.65
Italian War of 1521	4910
Italo disco	12.0123
Italy	149346
Ivan IV of Russia	213.053
Ivory	4513.72
Ivory-billed Woodpecker	174.572
J. J. Thomson	365.496
J. K. Rowling	7178.32
J. M. W. Turner	7899.81
J. R. R. Tolkien	31452.4
J. S. Fry & Sons	29.6108
Jack Kerouac	1967.55
Jackal	10185.8
Jackanory	47.7245
Jackdaw	876.798
Jackie Robinson	9246.47
Jacob Riis	0
Jacobite rising	202.497
Jacques Cartier	211.011
Jacques-Louis David	808.111
Jakarta	4040.42
Jake Gyllenhaal	5041.92
Jamaica	14223.7
James Bond	9522.03
James Buchanan	649.327
James Callaghan	407.427
James Clerk Maxwell	10792.7
James Cook	17088.1
James D. Watson	829.592
James Garfield	721.307
James I of England	5813.65
James II of England	7147.08
James Joyce	9622.07
James K. Polk	1563.86
James Lovelock	391.145
James Monroe	415.8
James Stewart (actor)	423.699
James T. Aubrey, Jr.	0
James Watt	2184.84
Jan Mayen	232.404
Jane Austen	9948.6
Jane Eyre	477.629
Jane Fonda	3474.59
Japan	273380
Japanese grammar	0
Japanese war crimes	998.696
Japanese yen	2646.68
Jarvis Island	238.659
Jaws (film)	3611.68
Jazz	35591.9
Jean Charles de Menezes	23.2869
Jean-Jacques Rousseau	3734.26
Jehovah	53.3078
Jerry Fodor	281.899
Jersey	12471.1
Jersey Zoological Park	114.653
Jerusalem	25165.5
Jesse Owens	512.188
Jesus	34867.2
Jet Set Willy	13.81
Jet engine	5784.14
Jew	66399.3
Jewellery	5696.66
Jiaogulan	4.97319
Jimmy Carter	14585.9
Jimmy Wales	2392.25
Joan of Arc	6020.23
Jocelin	18.0625
Joel Brand	84.5701
Johann Pachelbel	279.112
Johann Sebastian Bach	8719.71
Johann Wolfgang Goethe	1316.55
Johannes Gutenberg	717.04
Johannes Kepler	9142.31
Johannes Ockeghem	92.7553
Johannesburg	8208.64
John A.T. Robinson	0
John Adams	2964.06
John Bull (locomotive)	702.32
John Cabot	768.586
John Calvin	3318.06
John Constable	636.303
John Dee	5336.65
John F. Kennedy	33150
John F. Kennedy assassination	4996.91
John Flamsteed	217.038
John Henninger Reagan	0
John Howard	1201.97
John Locke	34174.8
John Logie Baird	442.551
John Marshall	346.73
John Maynard Keynes	3756.47
John McEnroe	1831.68
John Millington Synge	345.216
John Milton	5131.36
John Pershing	6448.08
John Seigenthaler, Sr.	38.4956
John Sentamu	123.672
John Tyler	124.817
John Vanbrugh	9376.78
John W. Campbell	132.947
John W. Johnston	0
John of England	6784.1
John von Neumann	16206.5
Johnny Appleseed	184.84
Johnston Atoll	454.03
Jomsvikings	15.2668
Jonah Lomu	77.6017
Jonathan Wild	7.83039
Jordan	7500.86
Jordan River	1275.39
Jordanhill railway station	34.1609
Jorge Luis Borges	4038.01
Joseph Haydn	967.714
Joseph Stalin	10310.4
Joseph and the Amazing Technicolor Dreamcoat	0
Josephus	610.4
Juan Sebastián Elcano	38.1135
Judaism	61701.8
Juice	889.469
Julius Caesar	11172.3
Julius and Ethel Rosenberg	0
July 2006 Java earthquake	17.8422
Jump rope	41.0066
Juniper berry	2192.05
Jupiter	19571.1
Jupiter (mythology)	5036.37
Jurassic	14087.8
Juvenile delinquency	25.782
Jyllands-Posten Muhammad cartoons controversy	77.2786
Jórvík	0
Józef Piłsudski	767.228
Kaffir lime	19.83
Kakapo	1940.58
Kakariki	37.1291
Kangaroo	8381.94
Kansas City, Missouri	5885.12
Karachi	1097.2
Kargil War	2870.79
Karikkoselkä	17.0307
Karl Benz	344.012
Karl Marx	14391.1
Karl Popper	3930.2
Kashmir region	2581.09
Katana	286.149
Katyn massacre	0
Kazakhstan	14025.1
Keira Knightley	181.664
Kenya	50895.6
Kerala	19279.6
Kestrel	0
Keurusselkä	97.3195
Kevin Spacey	137.556
Khan Wali Khan	2.8063
Khartoum	845.733
Khazars	15913.2
