	0.000
Delhi	6752.009
Deluge (mythology)	7552.685
Demand Note	34.392
Democracy	27454.254
Democratic Action Party	0.000
Democratic Republic of the Congo	32338.638
Demosthenes	2143.906
Denis Law	30.042
Denmark	51022.409
Dennis Ritchie	774.245
Denver, Colorado	3712.813
Derby	2126.300
Desert	11488.397
Desert locust	224.426
Desmond Tutu	1127.606
Despotism	811.047
Detroit, Michigan	29331.491
Devonian	8593.530
Dewey Square	0.000
Diabetes mellitus	3046.288
Diamond	48353.683
Diamond cut	124.677
Diamond simulant	11010.624
Diane Keaton	62.302
Dice	3386.492
Dido and Aeneas	476.554
Diego Garcia	58.651
Diego Maradona	375.550
Diego Velázquez	1436.774
Differential equation	2506.854
Differential geometry and topology	0.000
Diffuse interstellar band	0.000
Dik-dik	61.923
Dill	5314.438
Dilophosaurus	20.361
Dimetrodon	374.057
Dingo	473.172
Dinosaur	169663.848
Diplodocus	1967.206
Directdebit	0.000
Directive Principles in India	0.000
Disneyland Railroad	105.887
Distilled beverage	883.434
Dixie Mission	10.035
Djibouti	3873.721
Dmitri Mendeleev	3672.892
Doctor Who	19622.388
Dodo	25132.795
Dog	20946.504
Doha	1006.089
Dolphin	18502.410
Domesday Book	1359.670
Domestic AC power plugs and sockets	0.000
Domestic goat	5387.410
Domesticated turkey	967.035
Dominica	6236.274
Dominican Republic	3576.186
Donald Bradman	187.021
Donald Duck	553.549
Donald Knuth	1005.919
Doom	10487.925
Dorset	13958.201
Double bass	1859.740
Double-decker bus	727.057
Douglas Adams	5242.292
Dove	15428.539
Dover	872.258
Down syndrome	615.839
Dr. Seuss	6803.233
Drama	3482.557
Draughts	0.000
Drawing	1785.543
Dresden	3532.217
Drinking water	5420.213
Driving on the left or right	0.000
Drosera anglica	4596.203
Drosophila melanogaster	1586.104
Drought	5058.004
Drum and bass	18397.538
Du Fu	732.545
Dualism (philosophy of mind)	4596.506
Dubai	3428.143
Dublin	21402.467
Dubnium	249.488
Duchenne muscular dystrophy	0.000
Dundee	20344.757
Dundee United F.C.	64.717
Dune	3187.441
Dunnock	44.420
Dunstable Downs	27.520
Duran Duran	1561.396
Durham	666.542
Durham Cathedral	789.411
Durian	237.259
Dutch language	53201.605
Dwight D. Eisenhower	11792.743
Dysprosium	599.600
Dál Riata	1141.541
Düsseldorf	2428.095
E. E. Cummings	2720.743
E. P. Wigner	0.000
E.T. the Extra-Terrestrial (Atari 2600)	0.000
ECHELON	563.184
EMD BL2	0.000
EMD F7	28.574
EMD GP30	0.000
Eagle	17719.563
Eagle Scout (Boy Scouts of America)	5104.800
Earl of Shaftesbury	38.175
Earless seal	0.000
Earth	291857.383
Earth's atmosphere	17342.591
Earthquake	16961.599
Earwax	0.000
East Africa	10452.807
East Flemish	384.156
East Timor	4890.702
East-West Schism	474.605
EastEnders	1287.234
Easter Island	2102.208
Eastern Orthodox Church	8653.766
Eastern Roman Empire	0.000
Ebony	1773.330
Ecology	19493.376
Economic inequality	1029.499
Economics	26753.513
Economy of Africa	2359.573
Economy of India	992.003
Economy of Pakistan	328.652
Economy of Scotland	0.000
Economy of the Iroquois	0.000
Economy of the Republic of Ireland	656.447
Ecuador	18512.332
Edema	245.769
Edgar Allan Poe	13506.293
Edible salt	1463.539
Edinburgh	39130.229
Edmond Halley	1828.283
Edmonton	0.000
Edmund Burke	3263.567
Edmund Hillary	519.965
Education	39130.996
Education in the United States	21919.838
Educational psychology	760.837
Edward Gibbon	2457.542
Edward I of England	2867.037
Edward II of England	5103.062
Edward III of England	3612.321
Edward IV of England	762.362
Edward Jenner	10393.546
Edward Teller	2238.083
Edward V of England	100.810
Edward VI of England	3001.401
Edward VII of the United Kingdom	5112.474
Edward VIII of the United Kingdom	1978.824
Edward the Confessor	1583.296
Edwin of Northumbria	3572.539
Effect of Hurricane Katrina on New Orleans	234.993
Effects of global warming	252.030
Effects of nuclear explosions	600.897
Egg (food)	5106.760
Egypt	83409.808
Egyptian pyramids	102.680
Eifel Aqueduct	0.000
Eilmer of Malmesbury	19.675
Einsteinium	1343.215
El Aaiún	0.000
El Hatillo Municipality, Miranda	0.000
El Lissitzky	363.815
El Niño-Southern Oscillation	2367.701
El Salvador	8365.043
Elagabalus	16.176
Eldfell	4739.950
Election	4516.584
Electric charge	10135.604
Electric field	987.912
Electrical engineering	6231.917
Electrical resistance	1870.312
Electricity	39462.955
Electromagnetic radiation	7052.361
Electron	26364.298
Electron beam welding	74.059
Electronic amplifier	0.000
Electronics	8541.492
Elementary algebra	6.872
Elementary arithmetic	19.299
Elementary group theory	7.394
Eleocharis dulcis	47.650
Elephant	21590.634
Elephant bird	26.175
Elephant shrew	5851.492
Elfin-woods Warbler	0.000
Elias Ashmole	24.892
Eliminative materialism	78.694
Elizabeth Fry	87.150
Elizabeth I of England	16600.922
Elizabeth II of the United Kingdom	74751.695
Elizabethan Poor Law (1601)	0.000
Elvis Presley	17600.313
Emacs	997.437
Emanuel Swedenborg	4340.274
Emirate	124.433
Emma Roberts	0.000
Emotion	1371.272
Emperor Penguin	210.653
Empires:  Dawn of the Modern World	0.000
Empiricism	1310.425
Employment	6765.170
Emu	7075.006
Enceladus (moon)	654.132
Encyclopædia Britannica	6636.847
Endoscopic foreign body retrieval	0.000
Energy	53701.074
Engineering	12575.716
England	682814.430
England expects that every man will do his duty	14.928
English Channel	14594.490
English Reformation	396.738
English language	295883.917
English monarchs family tree	0.000
English peasants' revolt of 1381	151.915
English poetry	9013.302
Enigma machine	5053.269
Entropy	6571.883
Environmental science	538.921
Enzyme kinetics	49.986
Eocene	3611.336
Epaminondas	14.243
Epazote	764.895
Epic of Gilgamesh	407.852
Episcopal polity	360.772
Equal Protection Clause	95.692
Equatorial Guinea	9932.081
Erbium	695.260
Eric Clapton	8890.350
Erie Canal	2307.410
Eris (dwarf planet)	164.134
Eritrea	12688.820
Ernest Hemingway	12915.785
Ernest Rutherford	4198.458
Eruption column	161.080
Erwin Rommel	5381.212
Eskimo	232.072
Esox	0.000
Esperanto	6162.594
Essential oil	4945.066
Estonia	4338.412
Ethanol	16739.431
Ethics	8112.048
Ethiopia	47447.488
Ethiopian Wolf	30.872
Ethnic group	5613.270
Euclid	4707.497
Euclidean geometry	563.960
Eukaryote	663.211
Euphrates	1016.580
Eurasian Bullfinch	0.000
Eurasian Collared Dove	95.817
Eurasian Eagle Owl	113.073
Eurasian Jay	263.627
Eurasian Oystercatcher	0.000
Euro	11718.393
Europe	568787.716
European Goldfinch	373.039
European Greenfinch	0.000
European Kingfisher	0.000
European Parliament	2039.576
European Space Agency	7574.169
European Union	97280.969
Europium	514.653
Eurovision Song Contest	5483.961
Euston Manifesto	0.000
Eustreptospondylus	0.000
Eva Perón	632.490
Evan Rachel Wood	0.000
Evanton	0.000
Evolution	101741.816
Evolutionarily stable strategy	118.374
Existentialism	3027.892
Exploration of Mars	166.479
Explorer I	194.532
Expressionism	706.534
Extinct birds	14435.112
Extinction	23323.799
Extrasolar planet	35018.695
Extraterrestrial life	6555.017
Eye	31280.591
Eye (cyclone)	147.627
Eyelid	3.495
Ezra Pound	11319.024
F-35 Lightning II	143.872
F-4 Phantom II	78.413
FIFA	1824.536
FIFA World Cup	3484.119
FM Consolidated line	0.000
Fair Isle	796.068
FairTax	0.000
Falcon	2031.411
Falkirk Wheel	0.000
Falkland Islands	6620.873
Family	1490.098
Famine	15510.120
Fanny Blankers-Koen	0.000
Faroe Islands	12943.701
Fascism	8251.179
Fashion	8439.743
Fatty acid	13224.635
Fauna of Australia	20699.624
Feather	5445.984
Fed Cup	270.496
Federal Bureau of Investigation	15900.647
Federated States of Micronesia	2842.879
Fedora Core	516.054
Feldspar	1008.374
Felice Beato	1497.573
Felix Mendelssohn	3526.942
Felix the Cat	162.822
Fencing	267.024
Fennel	7791.462
Ferdinand Magellan	5471.887
Ferdinandea	42.530
Fermi paradox	450.768
Fermium	101.173
Fern	6687.541
Fertile Crescent	675.874
Fertilizer	8530.518
Fetal alcohol spectrum disorder	0.000
Ffestiniog Railway	40.796
Fiberglass	646.050
Fiction	3913.025
Fidel Castro	2826.413
Fieldfare	10.519
Fiji	3262.586
Film	36910.809
Final Fantasy (video game)	45.920
Final Fantasy Adventure	0.000
Finance	14080.575
Financial statements	0.000
Fine art	1911.880
Finland	43425.811
Fire	17554.655
Firearm	1175.892
Firecrest	26.708
Firefly (TV series)	1052.451
First Council of Nicaea	383.194
First Crusade	3123.553
First Macedonian War	127.104
First Transcontinental Railroad	7031.392
Fish	20730.545
Fishing	44489.757
Flag of Australia	353.805
Flag of Belarus	45.941
Flag of Hong Kong	30.635
Flag of India	349.347
Flag of Mexico	178.183
Flag of South Africa	153.723
Flag of the Republic of China	109.877
Flamingo	530.920
Flanders	12884.877
Flat Earth	3131.738
Flemish (linguistics)	578.802
Flemish dialects	29.323
Flemish people	304.426
Flood	18525.116
Floppy disk	5396.102
Florence Nightingale	1500.622
Florida	78562.052
Florida East Coast Railway	5706.219
Floris and Blancheflour	0.000
Flower	22952.504
Floyd Mayweather Jr.	0.000
Fluorine	2006.178
Flute	11116.064
Foie gras	0.000
Folic acid	1883.284
Folk music	16503.240
Folklore	9315.250
Food	20568.218
Football	16260.011
Football (soccer)	22571.265
Force	3184.788
Forensic facial reconstruction	0.000
Forest	4902.655
Formic acid	1824.252
Formula One	15972.648
Forrest Gump	688.183
Fort de Chartres	0.000
Forth	0.000
Forth Bridge (railway)	4786.569
Forth Road Bridge	58.473
Fossil	15235.889
Fossil fuel	1208.147
Fossil record	2334.136
Fourteenth Amendment to the United States Constitution	5303.636
Fox	13612.416
Fractal	883.677
France	252912.129
France in the American Revolutionary War	57.872
Frances Oldham Kelsey	0.000
Francis Bacon	1986.659
Francis Crick	8216.309
Francis Drake	1129.715
Francis Petre	21.650
Francis of Assisi	11056.224
Francisco Goya	381.404
Francium	939.860
Frank Lloyd Wright	1066.418
Frankenstein	3794.086
Frankfurt	10763.272
Franklin B. Gowen	0.000
Franklin D. Roosevelt	12353.276
Franklin Pierce	209.170
Franks	4993.185
Franz Kafka	8828.573
Franz Schubert	2354.466
Frederick Douglass	1442.054
Frederick Hamilton-Temple-Blackwood, 1st Marquess of Dufferin and Ava	0.000
Frederick II of Prussia	4298.347
Frederick II, Holy Roman Emperor	727.798
Freetown	809.289
French Guiana	602.387
French Open (tennis)	714.696
French Polynesia	78.356
French Revolution	6460.950
French Southern and Antarctic Lands	374.907
French language	80879.848
Fresh water	2776.792
Friedrich Nietzsche	13813.892
Friend Directdebit	0.000
Frog	28444.375
Fruit	46840.631
Frédéric Chopin	2357.186
Fugu	38.627
Full moon	1154.997
Funchal	2950.481
Functional programming	4271.104
Fundamental Rights in India	0.000
Fundamental theorem of arithmetic	4.399
Fungus	6035.002
Fur language	0.000
Fusarium	2.397
Fyodor Dostoevsky	3655.768
GDRT	24.796
GNOME	5901.092
GNU	6304.427
GNU Linux naming controversy	0.000
GNU Project	19.022
Gabon	1767.555
Gaborone	81.403
Gadolinium	583.976
Galah	9.954
Galaxy	5397.544
Galeras	24.812
Galerina	0.000
Galileo Galilei	16730.551
Gallery of the Kings and Queens of England	0.000
Gallimimus	0.000
Gallium	752.173
Galveston Hurricane of 1900	377.629
Galápagos Islands	9600.062
Game	5349.043
Game theory	16680.997
Ganesha	1662.206
Ganges River	2764.969
Ganges shark	0.000
Gangtok	225.561
Garage (dance music)	9.112
Garden	10926.746
Garden Gnome Liberation Front	0.000
Gardening	1629.960
Gas	1666.609
Gas giant	2375.357
Gas metal arc welding	102.081
Gas tungsten arc welding	617.755
Gas turbine-electric locomotive	154.386
Gaur	295.787
Gauss's law	312.560
Gautama Buddha	2742.426
Gaza Strip	3287.317
Gazelle	853.016
Gender	3078.702
Genealogy	1538.833
General Pershing Zephyr	84.893
Genetic code	4639.016
Genetics	15531.641
Geneva	7212.764
Genghis Khan	4051.426
Genoa	10074.284
Gentoo penguin	0.000
Geography	21628.184
Geography of Africa	0.000
Geography of India	1815.223
Geography of Ireland	114.710
Geography of Texas	0.000
Geology	25802.768
Geology of Dorset	0.000
Geology of the Grand Canyon area	85.312
Geometry	3324.401
Georg Cantor	4496.599
Georg Forster	0.000
Georg von Boeselager	0.000
George Byron, 6th Baron Byron	11474.948
George Eliot	972.577
George Fox	104.943
George H. W. Bush	5589.140
George Herbert	30.387
George I of Great Britain	1413.077
George II of Great Britain	652.942
George III of the United Kingdom	17489.427
George IV of the United Kingdom	7509.946
George Thomas Coker	0.000
George V of the United Kingdom	4986.726
George VI of the United Kingdom	3667.038
George W. Bush	48642.537
George Washington	7271.130
Georgetown, Guyana	571.312
Georgia (country)	25642.388
Gerald Durrell	6354.257
Gerald Ford	9778.567
German Crusade, 1096	121.599
German language	70539.653
German reunification	432.091
Germanium	2083.344
Germany	408991.425
Gettysburg Address	637.018
Ghana	6352.516
Ghost Dance	126.971
Giant Eland	33.338
Giant Hogweed	0.000
Giant Panda	910.854
Giant's Causeway	894.043
Gibraltar	22683.259
Giganotosaurus	33.198
Gilles Villeneuve	44.181
Giraffe	5235.265
Giuseppe Verdi	882.848
Giza pyramid complex	38.417
Glacier	28458.270
Glacier National Park (US)	6840.062
Glaciology	155.947
Glasgow	28281.135
Glass	29978.448
Glasses	4879.087
Glastonbury Festival	205.445
GlaxoSmithKline	1039.369
Gliding	400.788
Gliese 876	9684.139
Gliese 876 b	44.606
Gliese 876 c	10.741
Gliese 876 d	360.958
Global	34.704
Global city	18189.522
Global spread of H5N1	131.669
Global warming	23858.509
Globalization	10657.470
Globe Theatre	268.095
Globular cluster	182.625
Glorious Revolution	3282.811
Glynn Lunney	48.417
Gmail	464.329
Go (board game)	1704.158
Goa	8759.875
God	35019.653
Gold	122924.465
Gold standard	3415.635
Gold(III) chloride	943.981
Goldcrest	40.551
Golden Eagle	1571.409
Golden Gate Highlands National Park	25.902
Goldfish	647.775
Goleta, California	0.000
Gone with the Wind (film)	2968.345
Google	6559.662
Goose	4473.984
Gordon Brown	5830.832
Gordon Griffith	0.000
Gorilla	6491.555
Gossypium	58.935
Gothenburg	1706.494
Gottfried Leibniz	28109.948
Government	17394.864
Government of France	54.081
Gowanus Canal	0.000
Grand Canal of China	272.899
Grand Canyon	5949.056
Grand Central Station (Chicago)	0.000
Grand Central Terminal	1074.429
Grand Forks, North Dakota	0.000
Grand Slam (tennis)	9331.049
Grange Hill	0.000
Granite	10676.766
Graniteville train disaster	0.000
Grape seed oil	14.244
Graphic novel	2615.540
Gravitation	27536.827
Gray Wolf	786.732
Gray reef shark	31.973
Grease (film)	30.726
Great Auk	443.233
Great Barrier Reef	4075.725
Great Black-backed Gull	38.217
Great Britain	58633.559
Great Bustard	45.864
Great Comet of 1882	165.906
Great Cormorant	267.286
Great Crested Grebe	201.624
Great Lakes	11231.965
Great Lakes Storm of 1913	260.676
Great Moravia	1107.292
Great Pyramid of Giza	412.019
Great Red Spot	48.268
Great Rift Valley	5185.354
Great Salt Lake	822.384
Great Spotted Woodpecker	38.038
Great Tit	33.047
Great Wall of China	3669.968
Great Yarmouth	1667.550
Great comet	4600.005
Great hammerhead	0.000
Great white shark	1210.922
Greater Cane Rat	0.000
Greco-Buddhism	630.791
Greece	89925.373
Greek War of Independence	709.974
Greek mythology	40475.577
Green Woodpecker	38.816
Greenhouse effect	2924.414
Greenland	11334.447
Greg LeMond	262.202
Gregor Mendel	2672.027
Gregorian chant	774.156
Gremlins	0.000
Grenada	7415.172
Grevy's Zebra	0.641
Group (mathematics)	5420.718
Grover Cleveland	2278.400
Guadeloupe	3956.229
Guam	4358.511
Guangzhou	3448.927
Guatemala	13216.939
Guernsey	10749.437
Guglielmo Marconi	886.656
Guild	3432.966
Guinea	3345.570
Guinea-Bissau	2198.072
Guinness	1075.952
Guitar	4542.129
Gulf of Mexico	16045.334
Gull	14152.239
Gunpowder	1648.664
Guqin	4757.402
Gustav Holst	4592.714
Gustavus Franklin Swift	85.806
Guyana	17325.350
Gyeongju	95.636
Gypsum	4891.439
H II region	1333.314
H.D.	468.325
H5N1	6305.299
HD 209458 b	13.378
HD 217107	83.254
HD 217107 b	71.083
HD 217107 c	3.112
HD 28185	9.868
HD 28185 b	8.651
HIV	3825.993
HIV AIDS in Africa	0.000
HMS E18	0.000
HSBC	7914.265
HTTP cookie	14400.223
Habsburg Spain	6499.242
Hadrian's Wall	630.591
Haemophilia	30.520
Hafnium	1291.281
Haiti	4672.367
Haji Mohammad Suharto	0.000
Halfbeak	0.000
Halloween	7126.810
Hamburg	8003.437
Hamilton-Burr duel	0.000
Hammurabi	145.335
Hampshire	4599.249
Hampstead Heath	4564.975
Hannibal Barca	1999.800
Hanoi	519.420
Harald Maddadsson	0.407
Haraldskær Woman	7.104
Harare	583.899
Hardball squash	8.039
Harlem Globetrotters	95.422
Harley-Davidson	22.122
Harold Macmillan	1964.297
Harold Wilson	5968.550
Harrier Hawk	42.320
Harry Potter	11185.823
Harry S. Truman	4961.643
Harvest	280.688
Hasekura Tsunenaga	372.503
Hassium	8.385
Hatshepsut	305.158
Hawaiian Goose	29.073
Hawfinch	0.000
Hawk	11816.758
Hawk-Eye	5331.473
Hawking radiation	473.876
Health	7489.768
Heard Island and McDonald Islands	295.307
Heat	9862.614
Hebrew calendar	543.482
Hebrew language	15980.519
Hebrides	827.702
Heilbronn	0.000
Helen	662.017
Helen Gandy	3.993
Helicobacter pylori	0.000
Heliocentrism	4590.105
Helium	38717.600
Hellenistic Greece	4175.795
Hello Garci scandal	0.000
Helmeted Guineafowl	102.374
Helsinki	4730.951
Henipavirus	60.495
Henri Matisse	174.806
Henrik Ibsen	872.406
Henry David Thoreau	2017.110
Henry Fonda	811.662
Henry Ford	479.363
Henry H. Rogers	13590.009
Henry I of England	2834.316
Henry II of England	2454.671
Henry III of England	368.485
Henry IV of England	719.019
Henry James	3811.594
Henry Moore	995.515
Henry Morrison Flagler	90.158
Henry Morton Stanley	565.943
Henry Purcell	9095.436
Henry Rollins	0.483
Henry V of England	715.035
Henry VI of England	683.995
Henry VII of England	1962.133
Henry VIII of England	19718.873
Henry Wood (conductor)	0.000
Hepatocellular carcinoma	25.642
Hepatorenal syndrome	0.000
Heracles	2467.069
Heraclius	200.900
Heraldry	2538.860
Herbert Hoover	3862.332
Herbig-Haro object	38.162
Herbivore	10444.249
Hermann Maier	0.000
Hernán Cortés	721.066
Hero of Ukraine	0.000
Hero of the Russian Federation	207.543
Herodotus	2698.843
Heron	256.805
Herrerasaurus	0.000
Herring Gull	244.374
Hey Jude	445.989
Hickman's potentilla	0.000
High German consonant shift	78.016
Hilda of Whitby	199.557
Himalayas	26667.455
Himno Nacional Mexicano	39.088
Hindi	6921.988
Hinduism	42141.443
Hip hop music	13143.590
Hippocrates	3110.002
Hippopotamus	5278.390
Hiroh Kikai	0.000
Hirohito	585.128
History	6255.586
History of Alaska	9206.040
History of Anglo-Saxon England	4135.145
History of Arizona	9256.136
History of Buddhism	1017.639
History of Burnside	0.000
History of Cape Colony from 1806 to 1870	49.256
History of Cape Colony from 1870 to 1899	33.750
History of Central Asia	58.398
History of Earth	10507.900
History of Greece	4237.527
History of Greenland	60.326
History of Limerick	0.000
History of Louisville, Kentucky	0.000
History of Miami, Florida	0.000
History of New Jersey	87.536
History of Northwest Territories capital cities	0.000
History of Poland (1945–1989)	0.000
History of Portugal (1777–1834)	0.000
History of Puerto Rico	41270.488
History of Russia	549.943
History of Singapore	0.000
History of Solidarity	0.000
History of South Africa	1890.046
History of South Africa in the apartheid era	1092.246
History of South Carolina	70.400
History of Wikipedia	0.000
History of computing hardware	1053.322
History of democracy	300.710
History of education	0.000
History of merit badges (Boy Scouts of America)	0.000
History of nuclear weapons	1577.739
History of painting	28.870
History of post-Soviet Russia	240.071
History of saffron	0.000
History of science	14359.062
History of slavery	55272.049
History of the Australian Capital Territory	0.000
History of the Grand Canyon area	0.000
History of the Internet	356.227
History of the Netherlands	0.000
History of the Panama Canal	0.000
History of the Portuguese Communist Party	12.602
History of the Royal Australian Navy	0.000
History of the West Indian cricket team	0.000
History of the world	3878.418
Ho Chi Minh	486.057
Ho Chi Minh City	546.294
Holkham Hall	5211.862
Hollandic	119.603
Holmium	385.831
Holy Roman Empire	22240.265
Homer	7280.917
Homestar Runner	2716.538
Homo floresiensis	196.084
Honduras	12822.332
Honey	8339.113
Honey bee	155.803
Hong Kong	33439.806
Hoover Dam	711.817
Hopman Cup	7893.279
Horatio Nelson, 1st Viscount Nelson	5798.209
Horn of Africa	8327.544
Horse	41872.413
Hot air balloon	516.706
House	6095.208
House Martin	5183.968
House Sparrow	16409.187
House of Lords	5614.280
Household income in the United States	133.271
Houston, Texas	20047.899
Hovercraft	470.306
Howards End	608.377
Howland Island	980.341
Hrafnkels saga	0.000
Hubbard Glacier	12.873
Hubble Deep Field	75.327
Hubble Space Telescope	18701.671
Hubble's law	82.108
Hudson Bay	478.959
Hugo Wolf	11.144
Human	183093.873
Human abdomen	0.000
Human dignity	3.832
Human rights	38263.237
Humanism	5301.726
Humanities	4960.185
Humbert Roque Versace	0.000
Humour	677.459
Humpback Whale	3348.128
Humphry Davy	2728.764
Humus	74.884
Hundred Years' War	8086.345
Hungary	39151.127
Hunger	58.520
Huntington's disease	144.185
Hurricane Alex (2004)	4589.780
Hurricane Andrew	2750.771
Hurricane Camille	721.409
Hurricane Charley	3978.634
Hurricane Danny (1997)	0.000
Hurricane David	23.205
Hurricane Dennis	6770.215
Hurricane Edouard (1996)	0.000
Hurricane Epsilon (2005)	51.389
Hurricane Felix (1995)	0.000
Hurricane Floyd	302.720
Hurricane Georges	499.598
Hurricane Gloria	73.816
Hurricane Ivan	2850.159
Hurricane John (1994)	0.000
Hurricane John (2006)	0.000
Hurricane Katrina	37700.302
Hurricane Lenny	464.819
Hurricane Marty (2003)	0.000
Hurricane Mitch	5552.236
Hurricane Philippe (2005)	5.054
Hurricane Vince (2005)	0.904
Husein Gradaščević	49.540
Hutu	212.745
Hyde Park, London	3985.358
Hydrochloric acid	8321.099
Hydrogen	59902.034
Hydrogen peroxide	669.624
Hydrology	7141.532
Hyena	9939.826
Hymenoptera	181.836
Hypsilophodon	0.000
Hänsel und Gretel	47.622
I Ching	69.542
I Want to Hold Your Hand	223.247
IG Farben Building	21.291
IPod	7957.797
ITunes	8603.114
Ibn Battuta	768.174
Ice	3240.598
Ice age	12421.377
Ice hockey	29687.152
Ice sheet	1364.807
Iceland	52113.639
Iceland hotspot	6.402
Ichthyosaur	909.995
Idit Harel Caperton	0.000
Idolatry	263.569
Igneous rock	2517.168
Igor Stravinsky	6543.188
Iguanodon	761.818
Ike Altgens	12.846
Imagism	511.055
Immanuel Kant	8282.926
Imperative programming	1500.327
Imperial Japanese Navy	1332.886
Impressionism	3293.320
Inca Empire	2575.414
Income disparity	53.552
India	237197.569
Indian Institutes of Technology	0.000
Indian Ocean	44785.531
Indian Peafowl	55.567
Indian Railways	5745.641
Indian Standard Time	5396.889
Indian cricket team	4940.787
Indian independence movement	8554.264
Indira Gandhi	657.110
Indium	361.805
Indo-Greek Kingdom	14822.427
Indonesia	52443.010
Indonesian language	1204.424
Indricotherium	193.624
Inductance	0.970
Indus River	6117.482
Indus Valley Civilization	5712.175
Industrial Revolution	49035.294
Industry	8557.095
Information	6325.553
Infrastructure	3077.341
Inner Hebrides	164.128
Insect	31575.704
Insulin	4415.906
Integrated circuit	6532.559
Intel Corporation	2066.467
Intelligence	679.803
InterBase	0.000
International Court of Justice	971.712
International English	0.000
International Red Cross and Red Crescent Movement	7920.410
International Space Station	14315.743
International human rights instruments	6.773
International law	1507.104
Internet	54999.438
Internet Explorer	4232.633
Interpol	9202.323
Introduction to special relativity	0.000
Invasion	5639.276
Invasion of Grenada	256.366
Invasive species	12428.747
Invertebrate	1101.825
Investment banking	0.000
Iodine	5441.194
Iowa class battleship	0.250
Ipswich	825.457
Iran	86172.126
Iranian peoples	8789.917
Iraq	24016.068
Iraq War	2808.395
Iraq and weapons of mass destruction	0.000
Ireland	116600.306
Ireland King of Arms	0.000
Iridium	7509.261
Irish Sea	7609.632
Irish people	46770.034
Irish poetry	4321.089
Irish theatre	32.727
Iron	73746.610
Iron Age	3823.790
Iron Maiden	1093.233
Iron Mike	115.867
Iron(III) chloride	117.335
Irrigation	5314.325
Isaac	805.477
Isaac Asimov	10713.055
Isaac Brock	286.174
Isaac Newton	35690.513
Isambard Kingdom Brunel	8108.160
Isan	825.575
Ishango bone	1216.462
Isis	3240.638
Islam	131608.496
Islamic republic	25.966
Island Fox	57.917
Isle of Man	21990.412
Isle of Wight	17658.951
Isles of Scilly	2843.657
Isospin	58.813
Israel	91307.380
Issyk Kul	54.195
Istanbul	18827.247
Italian Renaissance	7982.645
Italian War of 1521	4909.997
Italo disco	12.012
Italy	149346.306
Ivan IV of Russia	213.053
Ivory	4513.715
Ivory-billed Woodpecker	174.572
J. J. Thomson	365.496
J. K. Rowling	7178.325
J. M. W. Turner	7899.811
J. R. R. Tolkien	31452.421
J. S. Fry & Sons	29.611
Jack Kerouac	1967.551
Jackal	10185.771
Jackanory	47.725
Jackdaw	876.798
Jackie Robinson	9246.472
Jacob Riis	0.000
Jacobite rising	202.497
Jacques Cartier	211.011
Jacques-Louis David	808.111
Jakarta	4040.418
Jake Gyllenhaal	5041.920
Jamaica	14223.739
James Bond	9522.032
James Buchanan	649.327
James Callaghan	407.427
James Clerk Maxwell	10792.653
James Cook	17088.125
James D. Watson	829.592
James Garfield	721.307
James I of England	5813.648
James II of England	7147.083
James Joyce	9622.066
James K. Polk	1563.861
James Lovelock	391.145
James Monroe	415.800
James Stewart (actor)	423.699
James T. Aubrey, Jr.	0.000
James Watt	2184.845
Jan Mayen	232.404
Jane Austen	9948.598
Jane Eyre	477.629
Jane Fonda	3474.591
Japan	273379.577
Japanese grammar	0.000
Japanese war crimes	998.696
Japanese yen	2646.679
Jarvis Island	238.659
Jaws (film)	3611.684
Jazz	35591.870
Jean Charles de Menezes	23.287
Jean-Jacques Rousseau	3734.263
Jehovah	53.308
Jerry Fodor	281.899
Jersey	12471.138
Jersey Zoological Park	114.653
Jerusalem	25165.488
Jesse Owens	512.188
Jesus	34867.222
Jet Set Willy	13.810
Jet engine	5784.136
Jew	66399.293
Jewellery	5696.663
Jiaogulan	4.973
Jimmy Carter	14585.892
Jimmy Wales	2392.252
Joan of Arc	6020.225
Jocelin	18.063
Joel Brand	84.570
Johann Pachelbel	279.112
Johann Sebastian Bach	8719.713
Johann Wolfgang Goethe	1316.548
Johannes Gutenberg	717.040
Johannes Kepler	9142.306
Johannes Ockeghem	92.755
Johannesburg	8208.638
John A.T. Robinson	0.000
John Adams	2964.058
John Bull (locomotive)	702.320
John Cabot	768.586
John Calvin	3318.057
John Constable	636.303
John Dee	5336.647
John F. Kennedy	33150.001
John F. Kennedy assassination	4996.909
John Flamsteed	217.038
John Henninger Reagan	0.000
John Howard	1201.971
John Locke	34174.774
John Logie Baird	442.551
John Marshall	346.730
John Maynard Keynes	3756.475
John McEnroe	1831.676
John Millington Synge	345.216
John Milton	5131.365
John Pershing	6448.080
John Seigenthaler, Sr.	38.496
John Sentamu	123.672
John Tyler	124.817
John Vanbrugh	9376.781
John W. Campbell	132.947
John W. Johnston	0.000
John of England	6784.095
John von Neumann	16206.506
Johnny Appleseed	184.840
Johnston Atoll	454.030
Jomsvikings	15.267
Jonah Lomu	77.602
Jonathan Wild	7.830
Jordan	7500.857
Jordan River	1275.386
Jordanhill railway station	34.161
Jorge Luis Borges	4038.010
Joseph Haydn	967.714
Joseph Stalin	10310.449
Joseph and the Amazing Technicolor Dreamcoat	0.000
Josephus	610.400
Juan Sebastián Elcano	38.114
Judaism	61701.779
Juice	889.469
Julius Caesar	11172.253
Julius and Ethel Rosenberg	0.000
July 2006 Java earthquake	17.842
Jump rope	41.007
